rank,profile_url,name,title,registration_date,last_active,active_projects,portfolio_count,employment_rate,received_projects,financial_deals,completion_rate,ontime_delivery_rate,rehire_rate,communication_success_rate,total_completed_projects,avg_response_time_raw,avg_response_time_minutes,skills,skills_count,success_score,skills_str,registration_date_str
11,https://mostaql.com/u/hosashraf,Hosam E.,مختبر برمجيات,2024-10-04T00:00:00,منذ دقيقة,1.0,4.0,0.0,0.0,0.0,100.0,100.0,20.0,68.18,14.0,50 دقيقة,50.0,"[""الإلكترونيات"", ""لغة C"", ""بايثون"", ""تحسين السيو الداخلي"", ""إدارة المشاريع"", ""جافا"", ""اختبار المواقع"", ""كتابة التقارير"", ""GitHub""]",9.0,78.93,"الإلكترونيات, لغة C, بايثون, تحسين السيو الداخلي, إدارة المشاريع, جافا, اختبار المواقع, كتابة التقارير, GitHub",2024-10-04T00:00:00
12,https://mostaql.com/u/Abu_alkhair90,Ahmad A.,مطور ويب,2019-09-26T00:00:00,منذ دقيقة,2.0,24.0,0.0,0.0,0.0,100.0,75.0,20.22,30.13,132.0,4 ساعات و 40 دقيقة,280.0,"[""تطوير الويب"", ""تصميم مواقع"", ""برمجة مواقع"", ""إنشاء موقع ووردبريس"", ""إنشاء مدونة ووردبريس"", ""ووردبريس"", ""تصميم موقع إلكتروني""]",7.0,78.59,"تطوير الويب, تصميم مواقع, برمجة مواقع, إنشاء موقع ووردبريس, إنشاء مدونة ووردبريس, ووردبريس, تصميم موقع إلكتروني",2019-09-26T00:00:00
13,https://mostaql.com/u/AsmaaAbabker,أسماء أ.,مهندس و مدرب و مدير مشروع,2021-09-30T00:00:00,منذ دقيقة,0.0,13.0,0.0,0.0,0.0,100.0,91.89,20.83,31.36,37.0,ساعة و 31 دقيقة,91.0,"[""تصميم الحقائب التدريبية"", ""إدخال بيانات"", ""تدقيق حسابات"", ""إدارة الوقت"", ""إدارة علاقات العملاء"", ""ريادة الأعمال"", ""مايكروسوفت إكسل"", ""باوربوينت"", ""بحث السوق"", ""اللغة العربية""]",10.0,77.86,"تصميم الحقائب التدريبية, إدخال بيانات, تدقيق حسابات, إدارة الوقت, إدارة علاقات العملاء, ريادة الأعمال, مايكروسوفت إكسل, باوربوينت, بحث السوق, اللغة العربية",2021-09-30T00:00:00
14,https://mostaql.com/u/muhamadNaqira,محمد أ.,مونتير و مصمم جرافيك,2021-02-24T00:00:00,منذ دقيقة,0.0,20.0,0.0,0.0,0.0,100.0,100.0,66.67,20.69,6.0,16 ساعة و 28 دقيقة,988.0,"[""فوتوشوب"", ""Adobe Illustrator"", ""تصميم جرافيك"", ""تصميم شعار"", ""التصميم الإبداعي"", ""تصميم إعلان"", ""تعديل الصور"", ""تصميم بوسترات"", ""تصميم بنرات"", ""إنتاج الفيديو"", ""تصميم موقع إلكتروني"", ""تصميم قوالب"", ""رسوم متحركة"", ""كتابة إعلان"", ""بناء العلامة التجارية"", ""تصميم تجربة المستخدم"", ""إدارة المخزون"", ""After Effects"", ""التصوير الفوتوغرافي"", ""مونتاج فيديو""]",20.0,77.61,"فوتوشوب, Adobe Illustrator, تصميم جرافيك, تصميم شعار, التصميم الإبداعي, تصميم إعلان, تعديل الصور, تصميم بوسترات, تصميم بنرات, إنتاج الفيديو, تصميم موقع إلكتروني, تصميم قوالب, رسوم متحركة, كتابة إعلان, بناء العلامة التجارية, تصميم تجربة المستخدم, إدارة المخزون, After Effects, التصوير الفوتوغرافي, مونتاج فيديو",2021-02-24T00:00:00
15,https://mostaql.com/u/ZeynabHusein,Zeynab H.,مهندس برمجيات,2026-03-03T00:00:00,منذ دقيقة,1.0,17.0,0.0,0.0,0.0,100.0,100.0,33.33,50.0,9.0,35 دقيقة,35.0,"[""تصميم واجهة وتجربة المستخدم"", ""لارافيل"", ""PHP"", ""Supabase"", ""تحسين محركات البحث"", ""Paypal API"", ""Restful API"", ""إنشاء متجر إلكتروني"", ""إنشاء موقع إلكتروني"", ""هندسة البرمجيات"", ""تطوير الويب الكامل"", ""Back End"", ""Front End"", ""تصميم موقع إلكتروني"", ""تصميم UI UX"", ""Figma"", ""GitHub"", ""Git"", ""MySQL"", ""مونجو دي بي"", ""بوتستراب 5"", ""Tailwind CSS"", ""CSS3"", ""HTML"", ""Express JS"", ""جافا سكريبت"", ""node.js"", ""React"", ""Next.js"", ""إدارة المشاريع""]",30.0,77.42,"تصميم واجهة وتجربة المستخدم, لارافيل, PHP, Supabase, تحسين محركات البحث, Paypal API, Restful API, إنشاء متجر إلكتروني, إنشاء موقع إلكتروني, هندسة البرمجيات, تطوير الويب الكامل, Back End, Front End, تصميم موقع إلكتروني, تصميم UI UX, Figma, GitHub, Git, MySQL, مونجو دي بي, بوتستراب 5, Tailwind CSS, CSS3, HTML, Express JS, جافا سكريبت, node.js, React, Next.js, إدارة المشاريع",2026-03-03T00:00:00
16,https://mostaql.com/u/Shaabansayed73,شعبان س.,مدقق لغوي ومؤلف و معلم,2024-11-24T00:00:00,منذ دقيقة,0.0,10.0,0.0,0.0,0.0,96.08,81.63,20.51,60.71,49.0,56 دقيقة,56.0,"[""تصميم إعلان"", ""اللغة العربية"", ""كتابة مقالات"", ""كتابة المحتوى"", ""التدقيق اللغوي"", ""إدخال بيانات""]",6.0,77.35,"تصميم إعلان, اللغة العربية, كتابة مقالات, كتابة المحتوى, التدقيق اللغوي, إدخال بيانات",2024-11-24T00:00:00
17,https://mostaql.com/u/AHMED_FOUAD,احمد ف.,مهندس الكتروميكانيك,2014-11-21T00:00:00,منذ دقيقة,0.0,10.0,0.0,0.0,0.0,96.15,100.0,19.05,35.62,25.0,54 دقيقة,54.0,"[""مخططات فلل"", ""دراسة جدوى"", ""تصميم الدوائر الكهربائية"", ""الهندسة الميكانيكية"", ""الهندسة الكهربائية"", ""مخططات تنفيذية"", ""مخطط التمديدات الكهربائية"", ""الهندسة الصناعية"", ""استكشاف الأخطاء وإصلاحها"", ""التصميم الصناعي""]",10.0,77.11,"مخططات فلل, دراسة جدوى, تصميم الدوائر الكهربائية, الهندسة الميكانيكية, الهندسة الكهربائية, مخططات تنفيذية, مخطط التمديدات الكهربائية, الهندسة الصناعية, استكشاف الأخطاء وإصلاحها, التصميم الصناعي",2014-11-21T00:00:00
18,https://mostaql.com/u/Sid_ahmed32,Ahmed L.,مصمم جرافيك,2020-04-03T00:00:00,منذ دقيقة,0.0,0.0,0.0,0.0,0.0,100.0,77.36,23.68,34.81,53.0,ساعتين و 33 دقيقة,153.0,"[""التصميم الإبداعي"", ""تصميم جرافيك"", ""تصميم الأيقونات"", ""تصميم هوية تجارية"", ""تصميم كروت شخصية"", ""تصميم ملصقات"", ""Adobe InDesign"", ""فوتوشوب"", ""مايكروسوفت أوفيس"", ""اللغة الإنجليزية""]",10.0,76.28,"التصميم الإبداعي, تصميم جرافيك, تصميم الأيقونات, تصميم هوية تجارية, تصميم كروت شخصية, تصميم ملصقات, Adobe InDesign, فوتوشوب, مايكروسوفت أوفيس, اللغة الإنجليزية",2020-04-03T00:00:00
19,https://mostaql.com/u/Khaled_Nagi,Khaled M.,مهندس ذكاء اصطناعي,2020-09-30T00:00:00,منذ دقيقة,0.0,12.0,0.0,0.0,0.0,95.45,95.24,38.46,15.28,21.0,يومين و 4 ساعات,3120.0,"[""إدخال بيانات"", ""برمجة"", ""مايكروسوفت إكسل"", ""باوربوينت"", ""الإلكترونيات"", ""لغة C"", ""بايثون"", ""تخزين البيانات"", ""آردوينو"", ""تصميم الدوائر الكهربائية""]",10.0,75.7,"إدخال بيانات, برمجة, مايكروسوفت إكسل, باوربوينت, الإلكترونيات, لغة C, بايثون, تخزين البيانات, آردوينو, تصميم الدوائر الكهربائية",2020-09-30T00:00:00
20,https://mostaql.com/u/ishoil,Ibrahim A.,مصمم جرافيك ومحرر فيديو,2023-07-19T00:00:00,منذ دقيقة,0.0,0.0,0.0,0.0,0.0,100.0,100.0,50.0,50.0,3.0,49 دقيقة,49.0,"[""باوربوينت"", ""تصميم جرافيك"", ""فوتوشوب"", ""أدوبي بريمير"", ""مونتاج فيديو""]",5.0,75.67,"باوربوينت, تصميم جرافيك, فوتوشوب, أدوبي بريمير, مونتاج فيديو",2023-07-19T00:00:00
21,https://mostaql.com/u/belgacem_adnane,عدنان ب.,مصمم هوية بصرية,2017-06-27T00:00:00,منذ دقيقة,1.0,24.0,0.0,0.0,0.0,96.88,77.42,16.0,50.77,31.0,ساعة و 36 دقيقة,96.0,"[""التصميم الإبداعي"", ""تصميم هوية تجارية"", ""تصميم هوية بصرية"", ""تصميم جرافيك"", ""Adobe Illustrator"", ""تصميم شعار""]",6.0,73.42,"التصميم الإبداعي, تصميم هوية تجارية, تصميم هوية بصرية, تصميم جرافيك, Adobe Illustrator, تصميم شعار",2017-06-27T00:00:00
22,https://mostaql.com/u/Ziyad_Mohamed05,Zeyad M.,مصمم عروض تقديمية,2025-11-27T00:00:00,منذ دقيقة,0.0,8.0,0.0,0.0,0.0,92.86,92.31,12.5,66.67,13.0,52 دقيقة,52.0,"[""تصميم عروض بوربوينت"", ""الترجمة"", ""كتابة التقارير"", ""باوربوينت"", ""ووردبريس"", ""التصميم الإبداعي"", ""الفكرة التصميمية"", ""تصميم هوية بصرية""]",8.0,73.21,"تصميم عروض بوربوينت, الترجمة, كتابة التقارير, باوربوينت, ووردبريس, التصميم الإبداعي, الفكرة التصميمية, تصميم هوية بصرية",2025-11-27T00:00:00
23,https://mostaql.com/u/Marwa1_Faisal1,Marwa F.,مبرمجة ومطورة Odoo,2024-05-04T00:00:00,منذ دقيقة,0.0,0.0,0.0,0.0,0.0,100.0,100.0,33.33,26.67,4.0,ساعة و 12 دقيقة,72.0,"[""ووردبريس"", ""PHP"", ""جافا سكريبت"", ""تصميم موقع إلكتروني"", ""CSS"", ""HTML"", ""بوتستراب 5"", ""React"", ""بايثون"", ""أودو""]",10.0,72.72,"ووردبريس, PHP, جافا سكريبت, تصميم موقع إلكتروني, CSS, HTML, بوتستراب 5, React, بايثون, أودو",2024-05-04T00:00:00
24,https://mostaql.com/u/mohamednady184,Mohamed N.,مصمم عروض تقديمية,2023-11-22T00:00:00,منذ دقيقة,0.0,8.0,0.0,0.0,0.0,100.0,100.0,33.33,21.05,4.0,ساعتين و 29 دقيقة,149.0,"[""تنسيق النصوص"", ""تحويل PDF"", ""تفريغ النصوص"", ""مايكروسوفت وورد"", ""مايكروسوفت أوفيس"", ""باوربوينت"", ""تصميم عروض تقديمية"", ""تصميم عروض بوربوينت"", ""تصميم انفوجرافيك""]",9.0,72.27,"تنسيق النصوص, تحويل PDF, تفريغ النصوص, مايكروسوفت وورد, مايكروسوفت أوفيس, باوربوينت, تصميم عروض تقديمية, تصميم عروض بوربوينت, تصميم انفوجرافيك",2023-11-22T00:00:00
25,https://mostaql.com/u/byseif21,Seif S.,مطور Full Stack,2025-02-14T00:00:00,منذ دقيقة,1.0,5.0,0.0,0.0,0.0,100.0,100.0,20.0,17.5,6.0,ساعتين و 37 دقيقة,157.0,"[""تصميم موقع إلكتروني"", ""HTML"", ""جافا سكريبت"", ""SQL"", ""CSS3"", ""تطوير الويب"", ""ASP.NET Core"", ""React"", ""node.js"", ""Next.js""]",10.0,71.76,"تصميم موقع إلكتروني, HTML, جافا سكريبت, SQL, CSS3, تطوير الويب, ASP.NET Core, React, node.js, Next.js",2025-02-14T00:00:00
26,https://mostaql.com/u/Zeyad_Salem26,Zeyad S.,مصمم ويب,2023-10-18T00:00:00,منذ دقيقة,0.0,21.0,0.0,0.0,0.0,100.0,90.91,10.0,30.56,11.0,ساعة و 33 دقيقة,93.0,"[""إنشاء صفحة هبوط"", ""جافا سكريبت"", ""تعلم البرمجة"", ""إنشاء موقع إلكتروني"", ""تحويل PDF"", ""Front End"", ""حل المشكلات"", ""بوتستراب 5"", ""CSS"", ""html5""]",10.0,71.53,"إنشاء صفحة هبوط, جافا سكريبت, تعلم البرمجة, إنشاء موقع إلكتروني, تحويل PDF, Front End, حل المشكلات, بوتستراب 5, CSS, html5",2023-10-18T00:00:00
27,https://mostaql.com/u/iyadhoubi,إياد ا.,استاذ جامعي ومحلل بيانات,2025-10-24T00:00:00,منذ دقيقة,0.0,3.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,1.0,لم يحسب بعد,0.0,"[""التحليل الإحصائي"", ""النظام الإحصائي SPSS"", ""بايثون"", ""تدريس خصوصي"", ""تعلم الآلة"", ""مايكروسوفت وورد"", ""مايكروسوفت إكسل""]",7.0,70.83,"التحليل الإحصائي, النظام الإحصائي SPSS, بايثون, تدريس خصوصي, تعلم الآلة, مايكروسوفت وورد, مايكروسوفت إكسل",2025-10-24T00:00:00
28,https://mostaql.com/u/mostafa72005,مصطفي م.,مطور متاجر إلكترونية,2026-01-14T00:00:00,منذ دقيقة,0.0,9.0,0.0,0.0,0.0,100.0,100.0,0.0,60.0,3.0,11 دقيقة,11.0,"[""فوتوشوب"", ""تصميم جرافيك"", ""سلة"", ""منصة زد"", ""إدارة المتاجر الإلكترونية"", ""تصميم بوسترات"", ""تصميم بنرات"", ""تصميم متجر إلكتروني"", ""إنشاء متجر إلكتروني"", ""إدخال بيانات""]",10.0,70.47,"فوتوشوب, تصميم جرافيك, سلة, منصة زد, إدارة المتاجر الإلكترونية, تصميم بوسترات, تصميم بنرات, تصميم متجر إلكتروني, إنشاء متجر إلكتروني, إدخال بيانات",2026-01-14T00:00:00
29,https://mostaql.com/u/Same7_Paco,Sameh M.,م صوت وموسيقى وفيديو,2022-09-03T00:00:00,منذ دقيقة,1.0,24.0,0.0,0.0,0.0,91.18,83.87,12.0,21.34,31.0,6 ساعات و 36 دقيقة,396.0,"[""الموسيقى"", ""الإنتاج الصوتي"", ""تدريس خصوصي"", ""باوربوينت"", ""مونتاج فيديو"", ""مايكروسوفت إكسل"", ""إنتاج الفيديو"", ""مايكروسوفت أوفيس"", ""الفكرة التصميمية"", ""إعادة صياغة المحتوى"", ""إدخال بيانات"", ""تصميم بوسترات"", ""كتابة المحتوى"", ""البحث على الإنترنت"", ""تعديل الصور"", ""تصميم إعلان"", ""اللغة الإنجليزية"", ""تصميم شعار"", ""التصميم الإبداعي"", ""فوتوشوب""]",20.0,70.2,"الموسيقى, الإنتاج الصوتي, تدريس خصوصي, باوربوينت, مونتاج فيديو, مايكروسوفت إكسل, إنتاج الفيديو, مايكروسوفت أوفيس, الفكرة التصميمية, إعادة صياغة المحتوى, إدخال بيانات, تصميم بوسترات, كتابة المحتوى, البحث على الإنترنت, تعديل الصور, تصميم إعلان, اللغة الإنجليزية, تصميم شعار, التصميم الإبداعي, فوتوشوب",2022-09-03T00:00:00
30,https://mostaql.com/u/elkhair_abdo,Elkhair O.,مصمم جرافيك,2019-11-29T00:00:00,منذ دقيقة,0.0,21.0,0.0,0.0,0.0,91.55,60.0,20.51,42.35,65.0,ساعتين و دقيقة,121.0,"[""تصميم كروت شخصية"", ""تصميم هوية تجارية"", ""تعديل الصور"", ""تصميم نشرات"", ""تصميم ملصقات المنتجات"", ""تصميم ملصقات"", ""تصميم بروشور"", ""فوتوشوب"", ""تصميم العبوات"", ""تصميم شعار"", ""تصميم دعوات"", ""تصميم جرافيك"", ""تصميم بوسترات"", ""تصميم بنرات"", ""تصميم إعلان"", ""تصميم الأيقونات"", ""الفكرة التصميمية"", ""التصميم الإبداعي"", ""Adobe Illustrator"", ""Adobe InDesign""]",20.0,70.03,"تصميم كروت شخصية, تصميم هوية تجارية, تعديل الصور, تصميم نشرات, تصميم ملصقات المنتجات, تصميم ملصقات, تصميم بروشور, فوتوشوب, تصميم العبوات, تصميم شعار, تصميم دعوات, تصميم جرافيك, تصميم بوسترات, تصميم بنرات, تصميم إعلان, تصميم الأيقونات, الفكرة التصميمية, التصميم الإبداعي, Adobe Illustrator, Adobe InDesign",2019-11-29T00:00:00
31,https://mostaql.com/u/nasser_65,Nasser O.,مصمم هوية بصرية,2019-05-03T00:00:00,منذ دقيقة,0.0,20.0,0.0,0.0,0.0,96.81,53.85,11.29,35.07,91.0,ساعتين و 8 دقائق,128.0,"[""تصميم دعوات"", ""تصميم هوية تجارية"", ""كتابة إعلان"", ""الكتابة التقنية"", ""الكتابة الإبداعية"", ""تعديل الصور"", ""فوتوشوب"", ""تصميم العبوات"", ""تصميم شعار"", ""تصميم جرافيك""]",10.0,70.0,"تصميم دعوات, تصميم هوية تجارية, كتابة إعلان, الكتابة التقنية, الكتابة الإبداعية, تعديل الصور, فوتوشوب, تصميم العبوات, تصميم شعار, تصميم جرافيك",2019-05-03T00:00:00
32,https://mostaql.com/u/Sami_Moen,Sami M.,مدير حسابات,2020-10-08T00:00:00,منذ دقيقة,0.0,9.0,0.0,0.0,0.0,93.33,85.71,16.67,31.25,14.0,3 ساعات و 53 دقيقة,233.0,"[""محاسبة مالية"", ""مايكروسوفت إكسل"", ""مايكروسوفت أوفيس"", ""الإدارة المالية"", ""التحليل المالي"", ""إدارة المخزون"", ""تدقيق حسابات"", ""محاسبة"", ""إدخال بيانات""]",9.0,69.67,"محاسبة مالية, مايكروسوفت إكسل, مايكروسوفت أوفيس, الإدارة المالية, التحليل المالي, إدارة المخزون, تدقيق حسابات, محاسبة, إدخال بيانات",2020-10-08T00:00:00
33,https://mostaql.com/u/Mohammed_Hdz,محمد ح.,مصمم موشن جرافيك,2020-04-15T00:00:00,منذ دقيقة,1.0,24.0,0.0,0.0,0.0,95.0,60.53,17.86,36.61,38.0,ساعتين و 24 دقيقة,144.0,"[""رسوم متحركة"", ""After Effects"", ""تصميم موشن جرافيك"", ""التصميم الإبداعي"", ""مونتاج فيديو"", ""تصميم جرافيك"", ""تصميم فيديو"", ""إنتاج الفيديو""]",8.0,68.44,"رسوم متحركة, After Effects, تصميم موشن جرافيك, التصميم الإبداعي, مونتاج فيديو, تصميم جرافيك, تصميم فيديو, إنتاج الفيديو",2020-04-15T00:00:00
34,https://mostaql.com/u/Souhaila_17,سهيله ه.,محرر فيديو ومسوق,2018-08-03T00:00:00,منذ دقيقة,0.0,20.0,100.0,3.0,0.0,86.05,81.08,9.09,25.29,37.0,3 ساعات و 19 دقيقة,199.0,"[""اللغة الإنجليزية"", ""أدوبي بريمير"", ""التصوير الفوتوغرافي"", ""تصميم بنرات"", ""التصميم الإبداعي"", ""فوتوشوب"", ""تصميم موشن جرافيك"", ""ما قبل الإنتاج"", ""ما بعد الإنتاج"", ""إنتاج الفيديو"", ""تعديل الصور"", ""رسوم متحركة"", ""مونتاج فيديو"", ""أدوبي أوديشن"", ""After Effects""]",15.0,68.38,"اللغة الإنجليزية, أدوبي بريمير, التصوير الفوتوغرافي, تصميم بنرات, التصميم الإبداعي, فوتوشوب, تصميم موشن جرافيك, ما قبل الإنتاج, ما بعد الإنتاج, إنتاج الفيديو, تعديل الصور, رسوم متحركة, مونتاج فيديو, أدوبي أوديشن, After Effects",2018-08-03T00:00:00
35,https://mostaql.com/u/mahdislama,Mahdi S.,مهندس برمجيات,2019-07-13T00:00:00,منذ دقيقة,0.0,7.0,0.0,0.0,0.0,100.0,100.0,0.0,5.43,5.0,5 ساعات و 19 دقيقة,319.0,"[""CSS"", ""Express JS"", ""jQuery"", ""MySQL"", ""node.js"", ""PHP"", ""أنجولار"", ""React"", ""جافا سكريبت"", ""لارافيل""]",10.0,67.76,"CSS, Express JS, jQuery, MySQL, node.js, PHP, أنجولار, React, جافا سكريبت, لارافيل",2019-07-13T00:00:00
